iter	Passed	Remaining
596	1792	1210
597	1795	1207
598	1799	1204
599	1802	1201
600	1804	1198
601	1807	1194
602	1810	1191
603	1813	1189
604	1816	1186
605	1819	1182
606	1822	1179
607	1825	1176
608	1828	1173
609	1831	1171
610	1834	1167
611	1837	1164
612	1840	1161
613	1843	1158
614	1846	1155
615	1849	1153
616	1852	1150
617	1855	1147
618	1858	1143
619	1861	1140
620	1864	1137
621	1867	1134
622	1871	1132
623	1873	1129
624	1876	1126
625	1880	1123
626	1883	1120
627	1886	1117
628	1889	1114
629	1892	1111
630	1895	1108
631	1899	1106
632	1902	1103
633	1905	1100
634	1908	1097
635	1911	1094
636	1916	1091
637	1919	1089
638	1922	1086
639	1925	1083
640	1929	1080
641	1931	1077
642	1934	1074
643	1937	1071
644	1940	1068
645	1944	1065
646	1947	1062
647	1950	1059
648	1952	1056
649	1956	1053
650	1959	1050
651	1962	1047
652	1965	1044
653	1968	1041
654	1971	1038
655	1976	1036
656	1979	1033
657	1982	1030
658	1985	1027
659	1988	1024
660	1991	1021
661	1994	1018
662	1997	1015
663	2000	1012
664	2002	1008
665	2006	1006
666	2009	1003
667	2012	1000
668	2014	996
669	2017	993
670	2021	991
671	2024	987
672	2026	984
673	2029	981
674	2032	978
675	2035	975
676	2038	972
677	2041	969
678	2043	966
679	2046	962
680	2048	959
681	2051	956
682	2054	953
683	2057	950
684	2060	947
685	2062	944
686	2065	941
687	2068	938
688	2071	935
689	2073	931
690	2076	928
691	2079	925
692	2082	922
693	2085	919
694	2088	916
695	2090	913
696	2093	910
697	2096	907
698	2099	904
699	2102	900
700	2104	897
701	2107	894
702	2110	891
703	2113	888
704	2116	885
705	2119	882
706	2121	879
707	2124	876
708	2127	873
709	2130	870
710	2132	866
711	2135	863
712	2138	860
713	2140	857
714	2143	854
715	2146	851
716	2148	848
717	2151	845
718	2154	841
719	2157	838
720	2160	835
721	2163	832
722	2165	829
723	2168	826
724	2171	823
725	2174	820
726	2177	817
727	2180	814
728	2182	811
729	2185	808
730	2188	805
731	2191	802
732	2193	799
733	2196	796
734	2199	792
735	2202	790
736	2205	786
737	2208	784
738	2211	781
739	2214	778
740	2217	775
741	2219	771
742	2222	768
743	2225	765
744	2229	762
745	2232	760
746	2235	757
747	2239	754
748	2243	751
749	2246	748
750	2252	746
751	2255	743
752	2258	740
753	2262	738
754	2265	735
755	2268	732
756	2271	729
757	2275	726
758	2281	724
759	2284	721
760	2288	718
761	2292	715
762	2296	713
763	2298	710
764	2301	707
765	2304	703
766	2309	701
767	2314	699
768	2316	695
769	2319	692
770	2323	690
771	2326	687
772	2328	683
773	2331	680
774	2334	677
775	2337	674
776	2341	671
777	2344	668
778	2346	665
779	2349	662
780	2354	660
781	2357	657
782	2360	654
783	2362	650
784	2365	647
785	2368	644
786	2371	641
787	2373	638
788	2376	635
789	2379	632
790	2382	629
791	2385	626
792	2388	623
793	2391	620
794	2394	617
795	2397	614
796	2400	611
797	2403	608
798	2405	605
799	2407	601
800	2410	598
801	2413	595
802	2416	592
803	2418	589
804	2421	586
805	2423	583
806	2426	580
807	2429	577
808	2431	574
809	2434	571
810	2437	567
811	2439	564
812	2442	561
813	2445	558
814	2447	555
815	2450	552
816	2453	549
817	2455	546
818	2458	543
819	2461	540
820	2463	537
821	2466	534
822	2469	531
823	2471	527
824	2474	524
825	2477	521
826	2479	518
827	2482	515
828	2484	512
829	2487	509
830	2490	506
831	2493	503
832	2496	500
833	2499	497
834	2503	494
835	2506	491
836	2508	488
837	2511	485
838	2514	482
839	2517	479
840	2521	476
841	2523	473
842	2526	470
843	2528	467
844	2531	464
845	2534	461
846	2536	458
847	2539	455
848	2541	452
849	2544	449
850	2548	446
851	2551	443
852	2553	440
853	2556	437
854	2558	433
855	2561	430
856	2564	427
857	2567	424
858	2569	421
859	2571	418
860	2574	415
861	2577	412
862	2579	409
863	2582	406
864	2584	403
865	2587	400
866	2590	397
867	2593	394
868	2596	391
869	2598	388
870	2600	385
871	2603	382
872	2605	379
873	2608	376
874	2611	373
875	2614	370
876	2616	366
877	2619	363
878	2622	360
879	2624	357
880	2627	354
881	2630	351
882	2632	348
883	2635	345
884	2638	342
885	2641	339
886	2644	336
887	2646	333
888	2649	330
889	2652	327
890	2655	324
891	2657	321
892	2660	318
893	2662	315
894	2665	312
895	2668	309
896	2671	306
897	2673	303
898	2676	300
899	2679	297
900	2681	294
901	2684	291
902	2687	288
903	2689	285
904	2692	282
905	2694	279
906	2697	276
907	2700	273
908	2702	270
909	2705	267
910	2708	264
911	2711	261
912	2714	258
913	2716	255
914	2719	252
915	2721	249
916	2725	246
917	2727	243
918	2730	240
919	2732	237
920	2735	234
921	2737	231
922	2741	228
923	2744	225
924	2746	222
925	2749	219
926	2751	216
927	2753	213
928	2757	210
929	2759	207
930	2762	204
931	2764	201
932	2767	198
933	2770	195
934	2773	192
935	2775	189
936	2778	186
937	2780	183
938	2783	180
939	2786	177
940	2788	174
941	2791	171
942	2793	168
943	2796	165
944	2798	162
945	2801	159
946	2805	157
947	2808	154
948	2810	151
949	2813	148
950	2816	145
951	2818	142
952	2821	139
953	2823	136
954	2826	133
955	2828	130
956	2831	127
957	2835	124
958	2838	121
959	2840	118
960	2843	115
961	2847	112
962	2849	109
963	2852	106
964	2855	103
965	2858	100
966	2863	97
967	2867	94
968	2871	91
969	2875	88
970	2878	85
971	2881	83
972	2884	80
973	2887	77
974	2889	74
975	2892	71
976	2895	68
977	2898	65
978	2900	62
979	2903	59
980	2906	56
981	2908	53
982	2911	50
983	2914	47
984	2917	44
985	2920	41
986	2923	38
987	2926	35
988	2928	32
989	2931	29
990	2934	26
991	2937	23
992	2940	20
993	2943	17
994	2946	14
995	2949	11
996	2952	8
997	2955	5
998	2958	2
999	2960	0
